response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0184,0.0000,0.0000,0.0093,0.0005,0.0083,400,0.0621
0.0115,0.0000,0.0000,0.0000,0.0002,0.0059,400,0.0694
0.0278,0.0000,0.0000,0.0000,0.0006,0.0060,400,0.0533
0.0269,0.0000,0.0000,0.0000,0.0002,0.0060,400,0.0543
0.0304,0.0000,0.0000,0.0000,0.0008,0.0072,400,0.0520
0.0127,0.0000,0.0000,0.0000,0.0004,0.0063,400,0.0699
0.0131,0.0000,0.0000,0.0001,0.0005,0.0065,400,0.0696
0.0132,0.0000,0.0000,0.0000,0.0005,0.0068,400,0.0700
0.0235,0.0000,0.0000,0.0000,0.0004,0.0067,400,0.0600
0.0134,0.0000,0.0000,0.0000,0.0007,0.0068,400,0.0702
0.0138,0.0000,0.0000,0.0002,0.0010,0.0064,400,0.0704
0.0131,0.0000,0.0000,0.0000,0.0007,0.0065,400,0.0713
0.0109,0.0000,0.0000,0.0000,0.0003,0.0049,400,0.0736
0.0114,0.0000,0.0000,0.0000,0.0007,0.0048,400,0.0733
0.0123,0.0000,0.0000,0.0000,0.0013,0.0050,400,0.0726
0.0123,0.0000,0.0000,0.0000,0.0011,0.0050,400,0.0727
0.0134,0.0000,0.0000,0.0000,0.0016,0.0055,400,0.0721
0.0132,0.0000,0.0000,0.0000,0.0015,0.0055,400,0.0724
0.0128,0.0000,0.0000,0.0000,0.0015,0.0050,400,0.0723
0.0138,0.0000,0.0000,0.0000,0.0020,0.0056,400,0.0720
0.0224,0.0000,0.0000,0.0000,0.0019,0.0056,400,0.0634
0.0129,0.0000,0.0000,0.0000,0.0008,0.0061,400,0.0729
0.0238,0.0000,0.0000,0.0000,0.0023,0.0057,400,0.0622
0.0127,0.0000,0.0000,0.0000,0.0011,0.0058,400,0.0734
0.0145,0.0000,0.0000,0.0000,0.0023,0.0059,400,0.0716
0.0238,0.0000,0.0000,0.0000,0.0023,0.0059,400,0.0625
0.0128,0.0000,0.0000,0.0000,0.0010,0.0059,400,0.0735
0.0133,0.0000,0.0000,0.0000,0.0014,0.0060,400,0.0731
0.0126,0.0000,0.0000,0.0001,0.0013,0.0052,400,0.0746
0.0069,0.0000,0.0000,0.0000,0.0009,0.0001,400,0.0804
0.0064,0.0000,0.0000,0.0000,0.0008,0.0001,400,0.0809
0.0132,0.0000,0.0000,0.0000,0.0019,0.0053,400,0.0742
0.0070,0.0000,0.0000,0.0000,0.0003,0.0000,400,0.0805
0.0071,0.0000,0.0000,0.0000,0.0006,0.0000,400,0.0805
0.0004,0.0000,0.0000,0.0000,0.0002,0.0000,400,0.0873
0.0138,0.0000,0.0000,0.0000,0.0020,0.0057,400,0.0741
0.0007,0.0000,0.0000,0.0000,0.0005,0.0000,400,0.0872
0.0143,0.0000,0.0000,0.0000,0.0019,0.0058,400,0.0737
0.0006,0.0000,0.0000,0.0000,0.0005,0.0000,400,0.0875
0.0129,0.0000,0.0000,0.0000,0.0008,0.0060,400,0.0753
0.0132,0.0000,0.0000,0.0000,0.0014,0.0059,400,0.0750
0.0128,0.0000,0.0000,0.0000,0.0003,0.0059,400,0.0755
0.0004,0.0000,0.0000,0.0000,0.0003,0.0001,400,0.0879
0.0130,0.0000,0.0000,0.0001,0.0005,0.0059,400,0.0755
0.0131,0.0000,0.0000,0.0004,0.0006,0.0059,400,0.0754
0.0133,0.0000,0.0000,0.0000,0.0009,0.0057,400,0.0756
0.0132,0.0000,0.0000,0.0000,0.0008,0.0058,400,0.0759
0.0009,0.0000,0.0000,0.0000,0.0007,0.0000,400,0.0883
0.0290,0.0000,0.0000,0.0001,0.0011,0.0059,400,0.0603
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,400,0.0884
0.0020,0.0000,0.0000,0.0000,0.0018,0.0000,400,0.0876
0.0152,0.0000,0.0000,0.0000,0.0013,0.0061,400,0.0745
0.0021,0.0000,0.0000,0.0000,0.0019,0.0000,400,0.0877
0.0026,0.0000,0.0000,0.0004,0.0021,0.0000,400,0.0874
0.0129,0.0000,0.0000,0.0000,0.0013,0.0048,400,0.0772
0.0066,0.0000,0.0000,0.0000,0.0005,0.0001,400,0.0836
0.0130,0.0000,0.0000,0.0000,0.0012,0.0049,400,0.0774
0.0069,0.0000,0.0000,0.0000,0.0008,0.0000,400,0.0835
0.0134,0.0000,0.0000,0.0001,0.0015,0.0050,400,0.0771
0.0010,0.0000,0.0000,0.0000,0.0008,0.0000,400,0.0896
0.0137,0.0000,0.0000,0.0000,0.0018,0.0051,400,0.0770
0.0065,0.0000,0.0000,0.0000,0.0010,0.0000,400,0.0843
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,400,0.0891
0.0152,0.0000,0.0000,0.0000,0.0020,0.0054,400,0.0758
0.0118,0.0000,0.0000,0.0000,0.0006,0.0058,400,0.0811
0.0186,0.0000,0.0000,0.0000,0.0017,0.0109,400,0.0745
0.0058,0.0000,0.0000,0.0000,0.0006,0.0050,400,0.0874
0.0183,0.0000,0.0000,0.0000,0.0012,0.0112,400,0.0751
0.0045,0.0000,0.0000,0.0000,0.0017,0.0027,400,0.0892
0.0046,0.0000,0.0000,0.0000,0.0016,0.0029,400,0.0893
0.0055,0.0000,0.0000,0.0000,0.0024,0.0029,400,0.0885
0.0113,0.0000,0.0000,0.0000,0.0023,0.0029,400,0.0827
0.0116,0.0000,0.0000,0.0000,0.0025,0.0029,400,0.0825
0.0057,0.0000,0.0000,0.0000,0.0023,0.0030,400,0.0885
0.0054,0.0000,0.0000,0.0000,0.0022,0.0031,400,0.0890
0.0132,0.0000,0.0000,0.0000,0.0031,0.0032,400,0.0812
0.0041,0.0000,0.0000,0.0000,0.0007,0.0033,400,0.0905
0.0124,0.0000,0.0000,0.0000,0.0031,0.0035,400,0.0824
0.0044,0.0000,0.0000,0.0000,0.0007,0.0036,400,0.0906
0.0049,0.0000,0.0000,0.0000,0.0011,0.0037,400,0.0901
0.0049,0.0000,0.0000,0.0000,0.0011,0.0038,400,0.0902
0.0049,0.0000,0.0000,0.0000,0.0010,0.0039,400,0.0904
0.0047,0.0000,0.0000,0.0000,0.0006,0.0040,400,0.0907
0.0051,0.0000,0.0000,0.0000,0.0010,0.0040,400,0.0904
0.0059,0.0000,0.0000,0.0000,0.0016,0.0041,400,0.0898
0.0051,0.0000,0.0000,0.0000,0.0007,0.0043,400,0.0908
0.0113,0.0000,0.0000,0.0000,0.0016,0.0044,400,0.0847
0.0063,0.0000,0.0000,0.0000,0.0017,0.0044,400,0.0898
0.0106,0.0000,0.0000,0.0000,0.0007,0.0046,400,0.0855
0.0113,0.0000,0.0000,0.0000,0.0016,0.0046,400,0.0849
0.0063,0.0000,0.0000,0.0000,0.0015,0.0047,400,0.0900
0.0132,0.0000,0.0000,0.0000,0.0022,0.0047,400,0.0832
0.0087,0.0000,0.0000,0.0000,0.0039,0.0047,400,0.0878
0.0110,0.0000,0.0000,0.0000,0.0004,0.0047,400,0.0856
0.0074,0.0000,0.0000,0.0000,0.0022,0.0050,400,0.0894
0.0106,0.0000,0.0000,0.0000,0.0004,0.0042,400,0.0862
0.0108,0.0000,0.0000,0.0001,0.0003,0.0043,400,0.0862
0.0121,0.0000,0.0000,0.0000,0.0007,0.0044,400,0.0850
0.0113,0.0000,0.0000,0.0000,0.0006,0.0046,400,0.0861
0.0115,0.0000,0.0000,0.0000,0.0008,0.0047,400,0.0860
0.0119,0.0000,0.0000,0.0000,0.0011,0.0048,400,0.0858
0.0120,0.0000,0.0000,0.0000,0.0010,0.0051,400,0.0859
0.0123,0.0000,0.0000,0.0000,0.0010,0.0053,400,0.0859
0.0120,0.0000,0.0000,0.0002,0.0004,0.0052,400,0.0863
0.0106,0.0000,0.0000,0.0000,0.0002,0.0052,400,0.0881
0.0124,0.0000,0.0000,0.0000,0.0006,0.0054,400,0.0864
0.0110,0.0000,0.0000,0.0000,0.0005,0.0055,400,0.0880
0.0109,0.0000,0.0000,0.0000,0.0002,0.0055,400,0.0882
0.0109,0.0000,0.0000,0.0000,0.0003,0.0054,400,0.0882
0.0147,0.0000,0.0000,0.0000,0.0003,0.0053,400,0.0845
0.0150,0.0000,0.0000,0.0000,0.0004,0.0054,400,0.0844
0.0085,0.0000,0.0000,0.0000,0.0002,0.0054,400,0.0910
0.0142,0.0000,0.0000,0.0001,0.0004,0.0056,400,0.0856
0.0099,0.0000,0.0000,0.0000,0.0004,0.0044,400,0.0930
0.0100,0.0000,0.0000,0.0000,0.0003,0.0044,400,0.0931
0.0106,0.0000,0.0000,0.0001,0.0006,0.0045,400,0.0931
0.0104,0.0000,0.0000,0.0000,0.0003,0.0046,400,0.0934
0.0102,0.0000,0.0000,0.0000,0.0003,0.0047,400,0.0939
0.0106,0.0000,0.0000,0.0000,0.0004,0.0047,400,0.0937
0.0086,0.0000,0.0000,0.0000,0.0003,0.0032,400,0.0958
0.0094,0.0000,0.0000,0.0000,0.0008,0.0032,400,0.0952
0.0099,0.0000,0.0000,0.0000,0.0028,0.0017,400,0.0950
0.0111,0.0000,0.0000,0.0000,0.0054,0.0000,400,0.0945
0.0105,0.0000,0.0000,0.0000,0.0052,0.0001,400,0.0954
0.0104,0.0000,0.0000,0.0000,0.0004,0.0047,400,0.0956
0.0105,0.0000,0.0000,0.0001,0.0052,0.0000,400,0.0955
0.0119,0.0000,0.0000,0.0000,0.0061,0.0000,400,0.0943
0.0122,0.0000,0.0000,0.0000,0.0064,0.0000,400,0.0942
0.0124,0.0000,0.0000,0.0000,0.0069,0.0000,400,0.0941
0.0128,0.0000,0.0000,0.0000,0.0074,0.0000,400,0.0940
0.0118,0.0000,0.0000,0.0000,0.0063,0.0001,400,0.0951
0.0124,0.0000,0.0000,0.0000,0.0069,0.0000,400,0.0948
0.0120,0.0000,0.0000,0.0000,0.0068,0.0000,400,0.0953
0.0134,0.0000,0.0000,0.0000,0.0078,0.0000,400,0.0940
0.0011,0.0000,0.0000,0.0000,0.0009,0.0000,400,0.1066
0.0019,0.0000,0.0000,0.0006,0.0008,0.0000,400,0.1060
0.0019,0.0000,0.0000,0.0000,0.0017,0.0000,400,0.1062
0.0019,0.0000,0.0000,0.0000,0.0017,0.0000,400,0.1064
0.0039,0.0000,0.0000,0.0000,0.0031,0.0000,400,0.1046
0.0028,0.0000,0.0000,0.0000,0.0027,0.0000,400,0.1059
0.0047,0.0000,0.0000,0.0000,0.0035,0.0001,400,0.1041
0.0102,0.0000,0.0000,0.0000,0.0056,0.0000,400,0.0987
0.0029,0.0000,0.0000,0.0000,0.0028,0.0000,400,0.1060
0.0097,0.0000,0.0000,0.0000,0.0050,0.0000,400,0.0993
0.0047,0.0000,0.0000,0.0000,0.0038,0.0000,400,0.1045
0.0049,0.0000,0.0000,0.0000,0.0039,0.0000,400,0.1043
0.0044,0.0000,0.0000,0.0000,0.0038,0.0000,400,0.1049
0.0099,0.0000,0.0000,0.0000,0.0051,0.0000,400,0.0995
0.0101,0.0000,0.0000,0.0000,0.0054,0.0000,400,0.0994
0.0065,0.0000,0.0000,0.0000,0.0047,0.0000,400,0.1030
0.0068,0.0000,0.0000,0.0000,0.0050,0.0001,400,0.1029
0.0060,0.0000,0.0000,0.0000,0.0047,0.0001,400,0.1038
0.0101,0.0000,0.0000,0.0000,0.0055,0.0000,400,0.0998
0.0062,0.0000,0.0000,0.0000,0.0049,0.0001,400,0.1039
0.0190,0.0000,0.0000,0.0000,0.0069,0.0000,400,0.0911
0.0120,0.0000,0.0000,0.0000,0.0075,0.0001,400,0.0984
0.0133,0.0000,0.0000,0.0000,0.0081,0.0001,400,0.0972
0.0113,0.0000,0.0000,0.0000,0.0066,0.0000,400,0.0989
0.0132,0.0000,0.0000,0.0000,0.0083,0.0000,400,0.0974
0.0141,0.0000,0.0000,0.0000,0.0088,0.0000,400,0.0965
0.0133,0.0000,0.0000,0.0000,0.0084,0.0000,400,0.0975
0.0142,0.0000,0.0000,0.0000,0.0089,0.0001,400,0.0966
0.0129,0.0000,0.0000,0.0000,0.0083,0.0001,400,0.0982
0.0141,0.0000,0.0000,0.0000,0.0090,0.0000,400,0.0971
0.0136,0.0000,0.0000,0.0000,0.0087,0.0000,400,0.0977
0.0145,0.0000,0.0000,0.0000,0.0092,0.0000,400,0.0968
0.0147,0.0000,0.0000,0.0000,0.0091,0.0004,400,0.0967
0.0152,0.0000,0.0000,0.0000,0.0099,0.0000,400,0.0963
